"STATION","DATE","ADPT","ASLP","ASTP","AWBT","AWND","RHAV","SNWD","TAVG","WDF2","WT02","WT05","WT18"
"USW00013880","2024-01-01","37","30.10","30.04","45","8.95","   59","0.0",,"  360",,,
"USW00013880","2024-01-02","27","30.21","30.15","37","6.49","   54","0.0",,"   10",,,
"USW00013880","2024-01-03","32","30.12","30.09","39","3.13","   64","0.0",,"  330",,,
"USW00013880","2024-01-04","34","30.10","30.02","41","8.50","   64","0.0",,"  340",,,
"USW00013880","2024-01-05","33","30.25","30.21","41","10.29","   60","0.0",,"   90",,,
"USW00013880","2024-01-06","54","29.81","29.78","57","11.41","   78","0.0",,"  200",,,
"USW00013880","2024-01-07","38","30.02","29.92","45","9.62","   63","0.0",,"  290",,,
"USW00013880","2024-01-08","36","30.30","30.25","42","8.72","   67","0.0",,"   60",,,
"USW00013880","2024-01-09","57","29.72","29.64","59","20.58","   84","0.0",,"  190",,,
"USW00013880","2024-01-10","34","29.84","29.74","42","12.30","   55","0.0",,"  260",,,
"USW00013880","2024-01-11","36","30.06","29.99","43","4.70","   64","0.0",,"  230",,,
"USW00013880","2024-01-12","51","29.86","29.85","53","9.40","   84","0.0",,"  200",,,
"USW00013880","2024-01-13","33","29.85","29.73","45","12.97","   46","0.0",,"  280",,,
"USW00013880","2024-01-14","30","30.17","30.11","40","5.82","   54","0.0",,"  190",,,
"USW00013880","2024-01-15","46","30.09","30.06","50","3.80","   71","0.0",,"  170","    1",,
"USW00013880","2024-01-16","48","29.88","29.83","51","6.93","   80","0.0",,"  320","    1",,
"USW00013880","2024-01-17","19","30.24","30.14","32","7.16","   45","0.0",,"  340",,,
"USW00013880","2024-01-18","35","30.17","30.16","42","2.24","   63","0.0",,"  150",,,
"USW00013880","2024-01-19","34","29.96","29.88","44","12.53","   54","0.0",,"  290",,,
"USW00013880","2024-01-20","15","30.27","30.19","28","10.29","   46","0.0",,"  330",,,
"USW00013880","2024-01-21","10","30.57","30.49","25","8.50","   42","0.0",,"   20",,,
"USW00013880","2024-01-22","29","30.59","30.54","38","6.93","   58","0.0",,"  120",,,
"USW00013880","2024-01-23","52","30.45","30.40","55","6.49","   79","0.0",,"  100",,,
"USW00013880","2024-01-24","61","30.33","30.29","64","8.50","   82","0.0",,"  160",,,
"USW00013880","2024-01-25","64","30.22","30.17","66","8.05","   84","0.0",,"  190","    1",,
"USW00013880","2024-01-26","63","30.13","30.09","66","8.50","   81","0.0",,"  190",,,
"USW00013880","2024-01-27","63","30.06","30.03","65","7.83","   85","0.0",,"  200","    1",,
"USW00013880","2024-01-28","47","29.84","29.79","54","14.76","   61","0.0",,"  250",,,
"USW00013880","2024-01-29","34","30.01","29.93","44","9.62","   53","0.0",,"  330",,,
"USW00013880","2024-01-30","37","30.08","30.04","44","6.49","   64","0.0",,"  190",,,
"USW00013880","2024-01-31","41","30.01","29.95","46","8.50","   71","0.0",,"  340",,,
"USW00013880","2024-02-01","38","30.12","30.07","44","4.70","   72","0.0",,"  210",,,
"USW00013880","2024-02-02","38","29.93","29.90","46","4.03","   60","0.0",,"  250",,,
"USW00013880","2024-02-03","37","29.99","29.93","45","9.17","   59","0.0",,"   50",,,
"USW00013880","2024-02-04","41","29.83","29.78","46","12.53","   71","0.0",,"   60",,,
"USW00013880","2024-02-05","44","29.68","29.62","48","13.20","   80","0.0",,"   30",,,
